task,origin,model,segment,metric,value,n
D pts UNCONDITIONAL,O2 valid=2025-01,naive: conditional season mean (selection-biased),starter (20-30),MAE,6.440495989245863,2022
D pts UNCONDITIONAL,O2 valid=2025-01,naive: conditional season mean (selection-biased),bench (10-20),MAE,4.313260000311869,2172
D pts UNCONDITIONAL,O2 valid=2025-01,naive: conditional season mean (selection-biased),fringe (<10),MAE,2.016216477721866,1537
D pts UNCONDITIONAL,O2 valid=2025-01,naive: conditional season mean (selection-biased),unknown (no history),MAE,10.541403885095265,59
D pts UNCONDITIONAL,O2 valid=2025-01,naive: unconditional season mean (0 for misses),ALL,MAE,4.545690875582947,7393
D pts UNCONDITIONAL,O2 valid=2025-01,naive: unconditional season mean (0 for misses),star (>=30),MAE,7.5514885463634815,1603
D pts UNCONDITIONAL,O2 valid=2025-01,naive: unconditional season mean (0 for misses),starter (20-30),MAE,5.688849408036916,2022
D pts UNCONDITIONAL,O2 valid=2025-01,naive: unconditional season mean (0 for misses),bench (10-20),MAE,3.663403762127281,2172
D pts UNCONDITIONAL,O2 valid=2025-01,naive: unconditional season mean (0 for misses),fringe (<10),MAE,1.2828859763833316,1537
D pts UNCONDITIONAL,O2 valid=2025-01,naive: unconditional season mean (0 for misses),unknown (no history),MAE,1.1812590385049948,59
D pts UNCONDITIONAL,O2 valid=2025-01,direct LightGBM on all scheduled rows,ALL,MAE,4.153468785877189,7393
D pts UNCONDITIONAL,O2 valid=2025-01,direct LightGBM on all scheduled rows,star (>=30),MAE,6.947397204947801,1603
D pts UNCONDITIONAL,O2 valid=2025-01,direct LightGBM on all scheduled rows,starter (20-30),MAE,5.020367821018163,2022
D pts UNCONDITIONAL,O2 valid=2025-01,direct LightGBM on all scheduled rows,bench (10-20),MAE,3.3370409401246093,2172
D pts UNCONDITIONAL,O2 valid=2025-01,direct LightGBM on all scheduled rows,fringe (<10),MAE,1.3807153062538307,1537
D pts UNCONDITIONAL,O2 valid=2025-01,direct LightGBM on all scheduled rows,unknown (no history),MAE,0.8223886897833467,59
D pts UNCONDITIONAL,O2 valid=2025-01,decomposed: P(play) x E[PTS|played],ALL,MAE,4.118317782741076,7393
D pts UNCONDITIONAL,O2 valid=2025-01,decomposed: P(play) x E[PTS|played],star (>=30),MAE,6.892632124632634,1603
D pts UNCONDITIONAL,O2 valid=2025-01,decomposed: P(play) x E[PTS|played],starter (20-30),MAE,4.959037095083306,2022
D pts UNCONDITIONAL,O2 valid=2025-01,decomposed: P(play) x E[PTS|played],bench (10-20),MAE,3.313942849564212,2172
D pts UNCONDITIONAL,O2 valid=2025-01,decomposed: P(play) x E[PTS|played],fringe (<10),MAE,1.3844020734327291,1537
D pts UNCONDITIONAL,O2 valid=2025-01,decomposed: P(play) x E[PTS|played],unknown (no history),MAE,0.761884909163496,59
D pts UNCONDITIONAL,O2 valid=2025-01,decomposed: P(play) x E[MIN|played] x prior PTS/min,ALL,MAE,4.103179598192748,7393
D pts UNCONDITIONAL,O2 valid=2025-01,decomposed: P(play) x E[MIN|played] x prior PTS/min,star (>=30),MAE,6.898183556533991,1603
D pts UNCONDITIONAL,O2 valid=2025-01,decomposed: P(play) x E[MIN|played] x prior PTS/min,starter (20-30),MAE,4.97488427640662,2022
D pts UNCONDITIONAL,O2 valid=2025-01,decomposed: P(play) x E[MIN|played] x prior PTS/min,bench (10-20),MAE,3.2841115980509166,2172
D pts UNCONDITIONAL,O2 valid=2025-01,decomposed: P(play) x E[MIN|played] x prior PTS/min,fringe (<10),MAE,1.3226685415969894,1537
D pts UNCONDITIONAL,O2 valid=2025-01,decomposed: P(play) x E[MIN|played] x prior PTS/min,unknown (no history),MAE,0.8774674918584069,59
A availability,O3 valid=2025-02,baseline: global rate,ALL,Brier,0.2352718139362065,5953
A availability,O3 valid=2025-02,baseline: global rate,ALL,LogLoss,0.6636831443539869,5953
A availability,O3 valid=2025-02,baseline: shifted appearance rate(10),ALL,Brier,0.18289675449504472,5953
A availability,O3 valid=2025-02,baseline: shifted appearance rate(10),ALL,LogLoss,0.6364950789088322,5953
A availability,O3 valid=2025-02,logistic regression,ALL,Brier,0.16218036364170374,5953
A availability,O3 valid=2025-02,logistic regression,ALL,LogLoss,0.5030345167414012,5953
A availability,O3 valid=2025-02,LightGBM classifier,ALL,Brier,0.1406553525121584,5953
A availability,O3 valid=2025-02,LightGBM classifier,ALL,LogLoss,0.43897801098805306,5953
B minutes|played,O3 valid=2025-02,baseline: expanding season mean,ALL,MAE,5.349928384602762,3739
B minutes|played,O3 valid=2025-02,baseline: expanding season mean,star (>=30),MAE,4.3067726954584025,979
B minutes|played,O3 valid=2025-02,baseline: expanding season mean,starter (20-30),MAE,5.294837521242586,1308
B minutes|played,O3 valid=2025-02,baseline: expanding season mean,bench (10-20),MAE,6.345706218057734,1034
B minutes|played,O3 valid=2025-02,baseline: expanding season mean,fringe (<10),MAE,5.3302361415050825,411
B minutes|played,O3 valid=2025-02,baseline: expanding season mean,unknown (no history),MAE,15.602428537194893,7
B minutes|played,O3 valid=2025-02,baseline: EWMA (halflife 5),ALL,MAE,4.960714105271345,3739
B minutes|played,O3 valid=2025-02,baseline: EWMA (halflife 5),star (>=30),MAE,3.9449132442729717,979
B minutes|played,O3 valid=2025-02,baseline: EWMA (halflife 5),starter (20-30),MAE,4.953855070682232,1308
B minutes|played,O3 valid=2025-02,baseline: EWMA (halflife 5),bench (10-20),MAE,5.898625774171943,1034
B minutes|played,O3 valid=2025-02,baseline: EWMA (halflife 5),fringe (<10),MAE,4.861317495765951,411
B minutes|played,O3 valid=2025-02,baseline: EWMA (halflife 5),unknown (no history),MAE,15.602428537194893,7
B minutes|played,O3 valid=2025-02,ridge,ALL,MAE,4.910076436082144,3739
